params.Y.a	params.Y.b	params.Z.a	params.Z.b	params.k	step	fit
1.32292117946701	1.31798516515824	1.18160258920078	45.1212513354854	0.0421947625580694	0	2.36779968060224
1.32292117946701	1.31798516515824	1.18160258920078	45.1212513354854	0.0504703688921716	100	2.48328730676282
1.32292117946701	1.31798516515824	1.18160258920078	41.983557973604	0.0504703688921716	169	2.61307138534017
1.32292117946701	1.15557358389572	1.18160258920078	41.983557973604	0.0504703688921716	242	2.70046059106244
1.32292117946701	1.04347666318604	1.18160258920078	41.983557973604	0.0504703688921716	653	2.7657101585873
1.32292117946701	1.04347666318604	1.56399121024393	41.983557973604	0.0504703688921716	724	3.04730076400248
1.32292117946701	0.676933354421922	1.56399121024393	41.983557973604	0.0504703688921716	750	3.25283710533661
1.32292117946701	0.676933354421922	1.56399121024393	41.983557973604	0.0614954109793071	758	3.42367937828586
1.32292117946701	0.676933354421922	1.56399121024393	41.983557973604	0.088121136217411	767	3.74254757758848
1.32292117946701	0.676933354421922	1.44646965090071	41.983557973604	0.088121136217411	910	3.86740051040864
1.32292117946701	0.676933354421922	1.36239407655947	41.983557973604	0.088121136217411	1128	3.90739553552254
1.32292117946701	0.676933354421922	1.36239407655947	41.983557973604	0.0954868681993285	1151	3.99411519948922
1.32292117946701	0.676933354421922	1.36239407655947	41.983557973604	0.0997289238633268	1293	4.03991974240736
1.32292117946701	0.676933354421922	1.36239407655947	41.983557973604	0.122038833745141	1965	4.22830163656459
1.32292117946701	0.655468292344525	1.36239407655947	41.983557973604	0.122038833745141	2112	4.25049929043382
1.32292117946701	0.655468292344525	1.36239407655947	41.983557973604	0.136839788293883	3359	4.31200014157635
1.31846097283667	0.655468292344525	1.36239407655947	41.983557973604	0.136839788293883	3487	4.31223679965564
1.31846097283667	0.637098772218517	1.36239407655947	41.983557973604	0.136839788293883	4574	4.31914761230573
1.31846097283667	0.637098772218517	1.32092218693782	41.983557973604	0.136839788293883	5485	4.34592077810087
1.31846097283667	0.637098772218517	1.28910087944277	41.983557973604	0.136839788293883	7200	4.3572636125652
1.19077181390015	0.637098772218517	1.28910087944277	41.983557973604	0.136839788293883	9380	4.36034821551403
